DATE,SMB,HML
198207,0.84,0.15
198208,-4.11,1.16
198209,2.88,0.34
198210,2.35,-3.68
198211,4.77,-1.96
198212,-0.18,0.01
198301,2.7,-0.86
198302,3.23,0.67
198303,1.77,2.07
198304,0.53,0.6
198305,6.16,-1.4
198306,0.91,-3.87
198307,1.46,5.62
198308,-4.3,5.55
198309,0.56,1.09
198310,-3.6,5.06
198311,2.04,-0.62
198312,-0.29,1.67
198401,-0.43,7.63
198402,-1.71,3.36
198403,0.07,0.48
198404,-1.2,1.29
198405,0.03,0.26
198406,-0.32,-2.6
198407,-2.21,0.49
198408,-0.25,-1.85
198409,0.2,5.32
198410,-1.2,0.51
198411,-0.62,4.08
198412,-0.6,-0.17
198501,3.27,-5.43
198502,0.76,-0.12
198503,-1.15,4.1
198504,0.14,3.73
198505,-2.25,-0.86
198506,0.46,0.4
198507,2.85,-1.63
198508,-0.34,2.28
198509,-1.58,1.32
198510,-1.57,0.78
198511,0.23,-2.87
198512,-0.49,-1.53
198601,1.22,0.53
198602,-0.65,-0.94
198603,-0.52,-0.44
198604,2.84,-2.85
198605,-1.32,-0.11
198606,-0.91,1.4
198607,-3.38,4.78
198608,-4.17,3.52
198609,2.28,3.19
198610,-2.48,-1.32
198611,-1.92,-0.06
198612,0.08,0.37
198701,-1.81,-3.18
198702,3.49,-5.99
198703,0.37,1.66
198704,-1.69,-0.33
198705,-0.53,0.13
198706,-2.18,1.07
198707,-0.67,0.66
198708,-0.72,-0.9
198709,0.52,0.28
198710,-8.43,4.23
198711,2.77,3.14
198712,0.13,-4.49
198801,-0.77,5.08
198802,3.36,-1.65
198803,6.16,0.74
198804,0.96,1.69
198805,-2.64,2.3
198806,2.16,-1.07
198807,-0.21,2.27
198808,0.04,2.03
198809,-1.25,-0.68
198810,-2.9,1.71
198811,-1.74,1.24
198812,1.95,-1.55
198901,-2.14,0.51
198902,2.76,0.87
198903,0.74,0.46
198904,-0.59,-1.45
198905,-0.04,-0.82
198906,-1.01,2.19
198907,-4.02,-2.84
198908,0.5,0.72
198909,0.28,-1.34
198910,-3.3,-1.03
198911,-1.24,-1.12
198912,-2.41,0.28
199001,-1.29,0.87
199002,1.03,0.61
199003,1.52,-2.9
199004,-0.5,-2.55
199005,-2.57,-3.74
199006,1.43,-1.94
199007,-3.21,-0.01
199008,-3.58,1.58
199009,-3.67,0.73
199010,-5.51,0.22
199011,0.33,-3.16
199012,0.79,-1.54
199101,3.79,-1.84
199102,3.95,-0.54
199103,3.89,-1.23
199104,0.5,1.42
199105,-0.34,-0.57
199106,0.07,1.21
199107,-0.93,-1.25
199108,1.59,-0.78
199109,1.63,-1
199110,0.9,-0.43
199111,-0.48,-1.93
199112,-2.24,-4.03
199201,8.47,4.51
199202,0.88,6.37
199203,-1.03,3.65
199204,-6.12,4.31
199205,0.39,1.28
199206,-3.09,3.4
199207,-0.44,-0.53
199208,-0.12,-1.03
199209,0.56,-0.21
199210,2.05,-2.1
199211,3.7,-1.48
199212,1.64,2.52
199301,2.03,5.87
199302,-3.43,6.42
199303,0.23,1.22
199304,-0.7,2.61
199305,1.96,-3.41
199306,-0.31,2.62
199307,0.93,3.25
199308,0.31,-0.45
199309,3.11,-0.44
199310,1.45,-1.54
199311,-1.42,-0.27
199312,1.22,0.57
199401,0.15,2.09
199402,2.73,-1.45
199403,-0.98,1.29
199404,-0.92,1.68
199405,-2.01,0.2
199406,-0.45,1.69
199407,-1.72,0.62
199408,1.34,-2.81
199409,2.83,-1.91
199410,-2.35,-1.74
199411,0.26,-0.94
199412,0.04,0.54
199501,-2.65,0.81
199502,-0.67,1.09
199503,-0.69,-1.1
199504,-0.63,2.27
199505,-2.21,1.72
199506,2.93,-2.28
199507,2.1,-1.67
199508,1.59,2.71
199509,-2.11,-0.75
199510,-3.75,-0.74
199511,-1.16,0.94
199512,0.58,0.87
199601,-2.62,0.3
199602,1.89,-1.42
199603,1.31,1.01
199604,4.91,-3.91
199605,3.05,-1.2
199606,-3.58,1.56
199607,-3.84,4.45
199608,2.3,-0.46
199609,-0.88,-3.15
199610,-4.44,5.12
199611,-3.89,1.16
199612,3.19,0.88
199701,-1.84,-1.64
199702,-2.91,5.19
199703,-0.38,3.81
199704,-5.65,-0.07
199705,4.89,-3.87
199706,1.32,1.23
199707,-2.8,0.82
199708,7.31,1.38
199709,2.61,0.01
199710,-0.68,1.95
199711,-4.95,0.79
199712,-2.35,3.45
199801,-1.16,-1.45
199802,0.01,-0.13
199803,-0.93,1.05
199804,0.21,0.74
199805,-3.75,4.16
199806,-3.16,-2.33
199807,-5.12,-0.96
199808,-5.31,3.4
199809,-0.14,-3.31
199810,-3.29,-2.21
199811,1.07,-3.15
199812,-0.35,-4.46
199901,0.37,-4.03
199902,-5.67,1.4
199903,-3.92,-2.65
199904,4,2.53
199905,3.42,2.4
199906,3.05,-3.6
199907,2.67,-0.76
199908,-1.27,-1.31
199909,3.34,-3.39
199910,-6.95,-2.89
199911,7.37,-6.51
199912,7.12,-8.73
200001,4.95,-0.28
200002,21.7,-9.93
200003,-16.87,7.37
200004,-7.72,8.61
