caldt,b10ret,t90ret,cpiret
20160630,0.029989,0.000846,0.012119
20160930,-0.006016,0.001092,0.001701
20161230,-0.059124,0.000842,0.000017
20170331,0.012053,0.001212,0.009813
20170630,0.017674,0.002079,0.004734
20170929,-0.000329,0.002699,0.007609
20171229,-0.001523,0.002835,-0.001196
20180329,-0.023974,0.003464,0.012291
20180629,-0.003786,0.004499,0.009758
20180928,-0.009975,0.004898,0.001786
20181231,0.039261,0.005777,-0.004777
20190329,0.032338,0.005665,0.011818
20190628,0.037822,0.006417,0.007636
20190930,0.029785,0.005743,0.002404
20191231,-0.018737,0.004596,0.000837
